RespondentID,Cluster,Persona
1,0,Financially Stressed Beginners
2,1,Premium-Ready Professionals
3,2,Smart Savers
4,2,Smart Savers
5,1,Premium-Ready Professionals
6,0,Financially Stressed Beginners
7,1,Premium-Ready Professionals
8,0,Financially Stressed Beginners
9,1,Premium-Ready Professionals
10,2,Smart Savers
11,0,Financially Stressed Beginners
12,1,Premium-Ready Professionals
13,1,Premium-Ready Professionals
14,2,Smart Savers
15,1,Premium-Ready Professionals
16,1,Premium-Ready Professionals
17,1,Premium-Ready Professionals
18,0,Financially Stressed Beginners
19,1,Premium-Ready Professionals
20,2,Smart Savers
21,0,Financially Stressed Beginners
22,2,Smart Savers
23,0,Financially Stressed Beginners
24,0,Financially Stressed Beginners
25,1,Premium-Ready Professionals
26,1,Premium-Ready Professionals
27,2,Smart Savers
28,0,Financially Stressed Beginners
29,0,Financially Stressed Beginners
30,0,Financially Stressed Beginners
31,1,Premium-Ready Professionals
32,1,Premium-Ready Professionals
33,0,Financially Stressed Beginners
34,1,Premium-Ready Professionals
35,0,Financially Stressed Beginners
36,2,Smart Savers
37,0,Financially Stressed Beginners
38,2,Smart Savers
39,1,Premium-Ready Professionals
40,1,Premium-Ready Professionals
41,0,Financially Stressed Beginners
42,2,Smart Savers
43,0,Financially Stressed Beginners
44,0,Financially Stressed Beginners
45,0,Financially Stressed Beginners
46,1,Premium-Ready Professionals
47,1,Premium-Ready Professionals
48,0,Financially Stressed Beginners
49,2,Smart Savers
50,2,Smart Savers
51,0,Financially Stressed Beginners
52,1,Premium-Ready Professionals
53,0,Financially Stressed Beginners
54,1,Premium-Ready Professionals
55,0,Financially Stressed Beginners
56,0,Financially Stressed Beginners
57,0,Financially Stressed Beginners
58,1,Premium-Ready Professionals
59,0,Financially Stressed Beginners
60,2,Smart Savers
61,2,Smart Savers
62,2,Smart Savers
63,1,Premium-Ready Professionals
64,1,Premium-Ready Professionals
65,0,Financially Stressed Beginners
66,1,Premium-Ready Professionals
67,2,Smart Savers
68,2,Smart Savers
69,1,Premium-Ready Professionals
70,2,Smart Savers
71,2,Smart Savers
72,0,Financially Stressed Beginners
73,1,Premium-Ready Professionals
74,2,Smart Savers
75,2,Smart Savers
76,2,Smart Savers
77,1,Premium-Ready Professionals
78,1,Premium-Ready Professionals
79,2,Smart Savers
