,Q1_Age,IncomeMidpoint_INR,Q7_SavingsRate_Code,Q12_NumGoals,Q13_Anxiety,Q14_DiffSaving,Q15_LowConfidence,Q17_WantsGuidance,Q18_SelfLiteracy,Q22_WTP_INR,Q24_TrialLikelihood,NumAppsUsed,NumCreditInstruments,NumFeaturesWanted,PainPoint_Index,FinDiscipline_Index,AdoptionReadiness,Subscribe_Binary
Q1_Age,1.0,0.496,0.394,0.162,-0.266,-0.354,-0.21,-0.266,0.229,0.229,0.041,0.184,-0.012,-0.015,-0.296,0.299,-0.033,0.048
IncomeMidpoint_INR,0.496,1.0,0.625,0.286,-0.345,-0.468,-0.354,-0.352,0.351,0.427,0.205,0.349,0.104,0.043,-0.452,0.472,0.066,0.183
Q7_SavingsRate_Code,0.394,0.625,1.0,0.232,-0.43,-0.68,-0.446,-0.449,0.457,0.351,0.081,0.305,-0.004,-0.031,-0.64,0.648,-0.048,0.079
Q12_NumGoals,0.162,0.286,0.232,1.0,-0.125,-0.211,-0.235,-0.135,0.214,0.183,0.068,0.126,0.046,0.079,-0.215,0.253,0.013,0.084
Q13_Anxiety,-0.266,-0.345,-0.43,-0.125,1.0,0.681,0.143,0.525,-0.148,-0.1,0.156,-0.108,0.131,0.064,0.866,-0.248,0.294,0.176
Q14_DiffSaving,-0.354,-0.468,-0.68,-0.211,0.681,1.0,0.289,0.515,-0.289,-0.183,0.083,-0.195,0.095,0.035,0.887,-0.434,0.226,0.092
Q15_LowConfidence,-0.21,-0.354,-0.446,-0.235,0.143,0.289,1.0,0.371,-0.715,-0.332,-0.17,-0.385,-0.087,0.006,0.366,-0.74,-0.034,-0.156
Q17_WantsGuidance,-0.266,-0.352,-0.449,-0.135,0.525,0.515,0.371,1.0,-0.359,-0.073,0.175,-0.199,0.044,0.063,0.593,-0.427,0.53,0.158
Q18_SelfLiteracy,0.229,0.351,0.457,0.214,-0.148,-0.289,-0.715,-0.359,1.0,0.325,0.179,0.397,0.082,0.024,-0.358,0.907,0.027,0.158
Q22_WTP_INR,0.229,0.427,0.351,0.183,-0.1,-0.183,-0.332,-0.073,0.325,1.0,0.368,0.281,0.118,0.052,-0.21,0.383,0.616,0.382
Q24_TrialLikelihood,0.041,0.205,0.081,0.068,0.156,0.083,-0.17,0.175,0.179,0.368,1.0,0.151,0.11,0.024,0.087,0.183,0.775,0.589
NumAppsUsed,0.184,0.349,0.305,0.126,-0.108,-0.195,-0.385,-0.199,0.397,0.281,0.151,1.0,0.313,0.084,-0.223,0.463,0.078,0.152
NumCreditInstruments,-0.012,0.104,-0.004,0.046,0.131,0.095,-0.087,0.044,0.082,0.118,0.11,0.313,1.0,0.173,0.106,0.068,0.127,0.125
NumFeaturesWanted,-0.015,0.043,-0.031,0.079,0.064,0.035,0.006,0.063,0.024,0.052,0.024,0.084,0.173,1.0,0.055,-0.002,0.063,0.074
PainPoint_Index,-0.296,-0.452,-0.64,-0.215,0.866,0.887,0.366,0.593,-0.358,-0.21,0.087,-0.223,0.106,0.055,1.0,-0.489,0.249,0.096
FinDiscipline_Index,0.299,0.472,0.648,0.253,-0.248,-0.434,-0.74,-0.427,0.907,0.383,0.183,0.463,0.068,-0.002,-0.489,1.0,0.018,0.154
AdoptionReadiness,-0.033,0.066,-0.048,0.013,0.294,0.226,-0.034,0.53,0.027,0.616,0.775,0.078,0.127,0.063,0.249,0.018,1.0,0.541
Subscribe_Binary,0.048,0.183,0.079,0.084,0.176,0.092,-0.156,0.158,0.158,0.382,0.589,0.152,0.125,0.074,0.096,0.154,0.541,1.0
