RespondentID,AdoptionReadiness,AdoptionReadiness_z,FinDiscipline_Index,FinDiscipline_Index_z,IncomeMidpoint_INR,IncomeMidpoint_INR_z,NumAppsUsed,NumAppsUsed_z,NumCreditInstruments,NumCreditInstruments_z,NumFeaturesWanted,NumFeaturesWanted_z,PainPoint_Index,PainPoint_Index_z,Q10_TrackFreq,Q10_TrackFreq_Code,Q11_BNPL_EMI,Q11_CreditCard,Q11_EducationLoan,Q11_None,Q11_PersonalLoan,Q12_NumGoals,Q12_NumGoals_z,Q13_Anxiety,Q14_DiffSaving,Q15_LowConfidence,Q16_AppsComplex,Q17_WantsGuidance,Q18_SelfLiteracy,Q19_AICoach,Q19_AutoBudget,Q19_BillReminders,Q19_CreditScore,Q19_ExpenseSplit,Q19_GoalSavings,Q19_LiteracyContent,Q19_MicroInvest,Q19_Rewards,Q1_Age,Q1_Age_Outlier,Q1_Age_z,Q20_GuidanceStyle,Q20_GuidanceStyle_Fully automated / AI-driven,Q20_GuidanceStyle_Human advisor on demand,Q20_GuidanceStyle_Self-directed tools only,Q21_DecisionFactor,Q21_DecisionFactor_Brand reputation & trust,Q21_DecisionFactor_Data security & privacy,Q21_DecisionFactor_Ease of use,Q21_DecisionFactor_Low cost / affordability,Q21_DecisionFactor_Returns / performance,Q22_WTP_INR,Q22_WTP_INR_Outlier,Q22_WTP_INR_z,Q23_PricingModel,Q23_PricingModel_Annual subscription (discounted),Q23_PricingModel_Free with ads,Q23_PricingModel_Freemium (free core + paid upgrades),Q23_PricingModel_Monthly subscription,Q24_TrialLikelihood,Q25_Subscribe,Q25_Subscribe_Code,Q2_Gender,Q2_Gender_Female,Q2_Gender_Male,Q2_Gender_Non-binary / other,Q2_Gender_Prefer not to say,Q3_CityTier,Q3_CityTier_Code,Q4_Education,Q4_Education_Code,Q5_Employment,Q5_Employment_Currently not working,Q5_Employment_Gig worker / freelancer,Q5_Employment_Salaried — government / public sector,Q5_Employment_Salaried — private sector,Q5_Employment_Self-employed / business owner,Q5_Employment_Student,Q6_IncomeBand,Q6_IncomeBand_Code,Q7_SavingsRate,Q7_SavingsRate_Code,Q8_BudgetMethod,Q8_BudgetMethod_Code,Q9_BNPL,Q9_BudgetApp,Q9_CreditCard,Q9_MF_Stock,Q9_None,Q9_UPI,Subscribe_Binary,WTP_Positive
1,3.0,0.7332,0.83,-1.1426,15000,-0.8364,1,-1.1711,1,-0.0822,4,0.6828,2.0,-1.1373,Monthly,2,0,0,1,0,0,1,-0.4327,2,1,4,3,4,1,0,0,1,0,0,1,1,0,1,28.0,0,0.3238,Human advisor on demand,0,1,0,Data security & privacy,0,1,0,0,0,40.0,0,-0.1909,Freemium (free core + paid upgrades),0,0,1,0,3,No,0,Female,1,0,0,0,Tier 2,1,Bachelor's degree,2,Currently not working,1,0,0,0,0,0,"Less than ₹20,000",0,21% – 30%,3,I don't track it at all,0,0,0,0,0,0,1,0,1
2,3.67,1.7681,2.17,0.2422,27500,-0.1761,4,1.5844,1,-0.0822,3,-0.4765,3.0,-0.0096,Monthly,2,0,1,0,0,0,0,-1.2124,3,3,3,3,4,4,1,0,1,0,0,0,0,1,0,31.0,0,0.8776,Human advisor on demand,0,1,0,Low cost / affordability,0,0,0,1,0,140.0,0,1.2665,Monthly subscription,0,0,0,1,5,Yes,2,Male,0,1,0,0,Tier 1,2,Bachelor's degree,2,Self-employed / business owner,0,0,0,0,1,0,"₹20,000 – ₹34,999",1,1% – 10%,1,Mentally / rough estimates,1,1,1,1,0,0,1,1,1
3,1.67,-1.3212,1.67,-0.2745,27500,-0.1761,1,-1.1711,0,-1.2566,3,-0.4765,1.67,-1.5094,Never,0,0,0,0,1,0,1,-0.4327,2,1,3,2,3,3,0,0,1,0,0,0,1,1,0,27.0,0,0.1393,Fully automated / AI-driven,1,0,0,Ease of use,0,0,1,0,0,0.0,0,-0.7739,Free with ads,0,1,0,0,2,No,0,Male,0,1,0,0,Tier 1,2,Master's degree or higher,3,Gig worker / freelancer,0,1,0,0,0,0,"₹20,000 – ₹34,999",1,21% – 30%,3,Mentally / rough estimates,1,0,0,0,0,0,1,0,0
4,2.33,-0.3017,2.17,0.2422,15000,-0.8364,1,-1.1711,0,-1.2566,3,-0.4765,3.67,0.7459,Monthly,2,0,0,0,1,0,0,-1.2124,4,4,3,3,3,4,0,1,0,0,1,1,0,0,0,26.0,0,-0.0453,Human advisor on demand,0,1,0,Low cost / affordability,0,0,0,1,0,80.0,0,0.392,Freemium (free core + paid upgrades),0,0,1,0,2,No,0,Male,0,1,0,0,Tier 2,1,Diploma,1,Self-employed / business owner,0,0,0,0,1,0,"Less than ₹20,000",0,1% – 10%,1,Mentally / rough estimates,1,0,0,0,0,0,1,0,1
5,3.33,1.2429,2.0,0.0666,65000,1.8045,3,0.6659,3,2.2665,3,-0.4765,3.0,-0.0096,Monthly,2,0,1,1,0,1,1,-0.4327,3,3,3,3,4,3,0,0,1,0,0,0,1,0,1,32.0,0,1.0622,Fully automated / AI-driven,1,0,0,Low cost / affordability,0,0,0,1,0,170.0,0,1.7037,Freemium (free core + paid upgrades),0,0,1,0,4,Yes,2,Male,0,1,0,0,Tier 2,1,Master's degree or higher,3,Salaried — private sector,0,0,0,1,0,0,"₹50,000 – ₹79,999",3,11% – 20%,2,Notes app or spreadsheet,2,1,0,1,0,0,1,1,1
6,2.33,-0.3017,1.33,-0.6259,15000,-0.8364,1,-1.1711,0,-1.2566,4,0.6828,3.33,0.3625,Rarely,1,0,0,0,1,0,0,-1.2124,4,3,4,3,3,2,1,1,0,0,1,0,1,0,0,26.0,0,-0.0453,Human advisor on demand,0,1,0,Returns / performance,0,0,0,0,1,60.0,0,0.1006,Freemium (free core + paid upgrades),0,0,1,0,2,Maybe,1,Male,0,1,0,0,Tier 1,2,Diploma,1,Gig worker / freelancer,0,1,0,0,0,0,"Less than ₹20,000",0,1% – 10%,1,My bank's mobile app,3,0,0,0,0,0,1,0,1
7,2.67,0.2235,3.5,1.6168,42500,0.6161,3,0.6659,2,1.0922,4,0.6828,3.0,-0.0096,Daily,4,0,1,0,0,1,2,0.347,4,3,2,2,3,4,0,0,0,1,0,1,0,1,1,29.0,0,0.5084,Self-directed tools only,0,0,1,Data security & privacy,0,1,0,0,0,190.0,0,1.9952,Monthly subscription,0,0,0,1,3,Maybe,1,Male,0,1,0,0,Tier 1,2,Bachelor's degree,2,Salaried — private sector,0,0,0,1,0,0,"₹35,000 – ₹49,999",2,More than 30%,4,A dedicated budgeting / finance app,4,0,1,1,0,0,1,0,1
8,3.0,0.7332,0.5,-1.4837,15000,-0.8364,1,-1.1711,3,2.2665,4,0.6828,3.67,0.7459,Monthly,2,1,0,1,0,1,1,-0.4327,4,4,5,3,5,1,0,1,1,0,0,1,1,0,0,23.0,0,-0.5991,Fully automated / AI-driven,1,0,0,Data security & privacy,0,1,0,0,0,0.0,0,-0.7739,Free with ads,0,1,0,0,4,Yes,2,Male,0,1,0,0,Tier 1,2,Bachelor's degree,2,Student,0,0,0,0,0,1,"Less than ₹20,000",0,0% (I do not save),0,Mentally / rough estimates,1,0,0,0,0,0,1,1,0
9,2.33,-0.3017,4.0,2.1335,42500,0.6161,4,1.5844,1,-0.0822,4,0.6828,1.33,-1.8928,Daily,4,0,1,0,0,0,1,-0.4327,1,1,1,2,3,5,1,0,0,1,0,1,0,1,0,32.0,0,1.0622,Self-directed tools only,0,0,1,Data security & privacy,0,1,0,0,0,160.0,0,1.5579,Freemium (free core + paid upgrades),0,0,1,0,2,No,0,Female,1,0,0,0,Tier 1,2,Bachelor's degree,2,Salaried — private sector,0,0,0,1,0,0,"₹35,000 – ₹49,999",2,More than 30%,4,A dedicated budgeting / finance app,4,0,1,1,1,0,1,0,1
10,2.67,0.2235,1.67,-0.2745,27500,-0.1761,1,-1.1711,0,-1.2566,3,-0.4765,2.67,-0.3817,Rarely,1,0,0,0,1,0,0,-1.2124,2,3,3,3,3,3,0,1,1,0,0,0,1,0,0,25.0,0,-0.2299,Human advisor on demand,0,1,0,Data security & privacy,0,1,0,0,0,80.0,0,0.392,Freemium (free core + paid upgrades),0,0,1,0,3,Maybe,1,Male,0,1,0,0,Tier 2,1,Bachelor's degree,2,Salaried — private sector,0,0,0,1,0,0,"₹20,000 – ₹34,999",1,11% – 20%,2,Mentally / rough estimates,1,0,0,0,0,0,1,0,1
11,2.67,0.2235,1.5,-0.4502,42500,0.6161,3,0.6659,1,-0.0822,2,-1.6358,3.33,0.3625,Rarely,1,1,0,0,0,0,2,0.347,3,3,4,4,3,3,0,0,0,0,0,0,1,1,0,35.0,0,1.6159,Human advisor on demand,0,1,0,Ease of use,0,0,1,0,0,110.0,0,0.8293,Freemium (free core + paid upgrades),0,0,1,0,3,Maybe,1,Male,0,1,0,0,Tier 1,2,Diploma,1,Self-employed / business owner,0,0,0,0,1,0,"₹35,000 – ₹49,999",2,11% – 20%,2,I don't track it at all,0,1,0,0,1,0,1,0,1
12,2.33,-0.3017,3.5,1.6168,27500,-0.1761,3,0.6659,0,-1.2566,4,0.6828,1.33,-1.8928,Daily,4,0,0,0,1,0,2,0.347,1,1,2,2,2,4,0,0,0,1,1,1,0,1,0,24.0,0,-0.4145,Self-directed tools only,0,0,1,Data security & privacy,0,1,0,0,0,130.0,0,1.1207,Freemium (free core + paid upgrades),0,0,1,0,3,No,0,Male,0,1,0,0,Tier 2,1,Bachelor's degree,2,Self-employed / business owner,0,0,0,0,1,0,"₹20,000 – ₹34,999",1,More than 30%,4,A dedicated budgeting / finance app,4,0,1,0,1,0,1,0,1
